Time	Channel Voltage	Channel Current	Channel LP1	Channel LP2
(us)	(V)	(V)	(V)	(V)

86.47999750	6.11035919	0.55296504	-4.20613909	-0.16009474
86.48399750	6.11035919	0.55296504	-4.20306349	-0.15994094
86.48799750	6.27091551	0.55296504	-4.19998741	-0.15994094
86.49199750	6.27091551	0.55296504	-4.19691181	-0.15994094
86.49599750	6.27091551	0.55296504	-4.19383621	-0.15978716
86.49999749	6.27091551	0.55296504	-4.19076014	-0.15978716
86.50399749	6.27091551	0.55296504	-4.18768454	-0.15978716
86.50799749	6.11035919	0.55296504	-4.18460894	-0.15963337
86.51199749	6.11035919	0.55296504	-4.18153286	-0.15963337
86.51599749	6.27091551	0.55296504	-4.17845726	-0.15947959
86.51999749	6.27091551	0.55296504	-4.17538118	-0.15947959
86.52399749	6.27091551	0.55296504	-4.17230558	-0.15932578
86.52799749	6.27091551	0.55296504	-4.17076778	-0.15932578
86.53199749	6.11035919	0.55296504	-4.16769171	-0.15932578
86.53599749	6.11035919	0.55296504	-4.16461611	-0.15917200
86.53999749	6.27091551	0.55296504	-4.16307831	-0.15917200
86.54399749	6.27091551	0.55296504	-4.16000271	-0.15917200
86.54799749	6.27091551	0.55296504	-4.15846443	-0.15901820
86.55199749	6.27091551	0.55296504	-4.15692663	-0.15901820
86.55599749	6.27091551	0.55296504	-4.15385103	-0.15901820
86.55999749	6.11035919	0.55296504	-4.15231276	-0.15901820
86.56399749	6.27091551	0.55296504	-4.15077496	-0.15901820
86.56799749	6.27091551	0.55296504	-4.14923716	-0.15886442
86.57199749	6.43147135	0.55296504	-4.14616156	-0.15886442
86.57599749	6.27091551	0.55296504	-4.14616156	-0.15886442
86.57999749	6.27091551	0.55296504	-4.14462376	-0.15886442
86.58399749	6.27091551	0.55296504	-4.14308548	-0.15871063
86.58799749	6.27091551	0.55296504	-4.14154768	-0.15871063
86.59199749	6.27091551	0.55296504	-4.14000988	-0.15871063
86.59599749	6.27091551	0.55296504	-4.13847208	-0.15871063
86.59999749	6.27091551	0.55296504	-4.13847208	-0.15871063
86.60399749	6.27091551	0.55296504	-4.13693380	-0.15871063
86.60799749	6.27091551	0.55296504	-4.13539600	-0.15871063
86.61199749	6.27091551	0.55296504	-4.13539600	-0.15855685
86.61599749	6.27091551	0.55296504	-4.13385820	-0.15871063
86.61999749	6.27091551	0.55296504	-4.13385820	-0.15871063
86.62399749	6.27091551	0.55296504	-4.13385820	-0.15871063
86.62799749	6.27091551	0.55296504	-4.13385820	-0.15871063
86.63199749	6.27091551	0.55296504	-4.13385820	-0.15871063
86.63599749	6.11035919	0.55296504	-4.13385820	-0.15871063
86.63999749	6.27091551	0.55296504	-4.13385820	-0.15871063
86.64399749	6.27091551	0.55296504	-4.13385820	-0.15871063
86.64799749	6.27091551	0.55296504	-4.13385820	-0.15871063
86.65199749	6.27091551	0.55296504	-4.13539600	-0.15871063
86.65599749	6.27091551	0.55296504	-4.13539600	-0.15871063
86.65999749	6.27091551	0.55296504	-4.13539600	-0.15871063
86.66399749	6.27091551	0.55296504	-4.13693380	-0.15886442
86.66799749	6.27091551	0.55296504	-4.13847208	-0.15886442
86.67199749	6.27091551	0.55296504	-4.13847208	-0.15886442
86.67599749	6.27091551	0.55296504	-4.14000988	-0.15886442
86.67999749	6.27091551	0.55296504	-4.14154768	-0.15886442
86.68399749	6.27091551	0.55296504	-4.14308548	-0.15886442
86.68799749	6.11035919	0.55296504	-4.14462376	-0.15886442
86.69199749	6.11035919	0.55296504	-4.14616156	-0.15886442
86.69599749	6.27091551	0.55296504	-4.14923716	-0.15886442
86.69999749	6.27091551	0.55296504	-4.15077496	-0.15901820
86.70399749	6.27091551	0.55296504	-4.15231276	-0.15901820
86.70799749	6.27091551	0.55296504	-4.15385103	-0.15901820
86.71199749	6.27091551	0.55296504	-4.15692663	-0.15901820
86.71599749	6.27091551	0.55296504	-4.15846443	-0.15901820
86.71999749	6.27091551	0.55296504	-4.16000271	-0.15917200
86.72399749	6.27091551	0.55296504	-4.16307831	-0.15917200
86.72799749	6.27091551	0.55296504	-4.16461611	-0.15917200
86.73199749	6.27091551	0.55296504	-4.16769171	-0.15917200
